     13 中文	台灣
      1 眾星今天下午力挺婚姻平權	中央社
      1 真愛聯盟綁架了國際家庭日	109
      1 真愛聯盟	的宗教霸權
      1 真光福音教會	活躍教會
      1 真光福音教會	基本制作共同主辦的
      1 看法兩極	公民新聞
      1 看得到	吃不到的同志伴侶權
      1 相關連結	编辑
      1 相關連結	8
      1 相關規定	遭駁
      1 相關法規如果須配合同性婚姻法案而修正其用語	牽連的法規甚多
      1 相同方式共享	3
      1 相同性別二人為成立上開永久之關係	可依民法婚姻章的規定
      1 相关更改	上传文件
      1 直至台灣伴侶權	益推動聯盟成立後才再度開始運作
      1 直布罗陀	福克兰群岛
      1 目录	1
      1 目前也已得到將近20位的中常委聯署支持	這草案讓神明都跳腳了
      1 盧森堡	马耳他
      1 盧森堡	美国
      1 盛夏光年	盛夏光年
      1 盛夏光年	擁抱
      1 益推動聯盟成立後才再度開始運作	多元成家三案並行
      1 皮特凯恩群岛	英屬南极领地
      1 皆開放受理	65
      1 皆屬基督教右派所組成的倡導團體	大抵上以基督教靈糧堂
      1 的臨陣倒戈	突然提出改修專法以及召開公聽會的訴求
      1 的理由	決議不受理同性婚姻釋憲聲請案
      1 的理想	33
      1 的民眾表達支持	2015年
      1 的民眾	都將為台灣性別人權寫下歷史的一頁
      1 的方式讓同性戀者與異性戀者享有相同的婚姻法源	部分認為可以另立專法來處理同性婚姻
      1 的方式包圍	限制其人身自由
      1 的支持度	小學及以下僅18
      1 的支持度	131
      1 的投票者支持一步到位制訂同性婚姻法	129
      1 的意願	就應在法律上給予一定的權益保障
      1 的宗教霸權	台灣不是基督教神權國家
      1 的俘虜	同志教育就是愛滋的罪魁禍首
      1 百萬家庭站出來	活動
      1 百萬家庭站出來	一同支持
      1 百萬家庭站出來	106
      1 百慕大	圣赫勒拿
      1 百年對對	只恨看不見
      1 白海豚媽祖宮	佛光大學生命學研究中心
      1 發布單位	贊成
      1 發動	公投連署企圖阻擋婚姻平權的信心希望聯盟
      1 登记的非营利慈善机构	隐私政策
      1 登录	名字空间
      1 病劃上等號並以不實資料散播謠言	113
      1 當晚七點表	示將開諮詢會審查
      1 當時國民黨也在中常會上就是否支持多元成家法案討論熱烈	但多半傾向暫緩修法
      1 當時伴侶盟預計於201	3年9月以百萬人連署之姿
      1 當持不同訴求的民眾舉牌	試圖對話溝通時
      1 當天活動人潮蔓延四公里	吸
      1 當事人擬告下福盟強制罪	新頭殼
      1 當中的部分內容如下	婚姻平權
      1 當中	沒有承認同性婚姻或同性結合的法律地位
      1 留尼汪	馬約特
      1 男風盛行	兩個男子拜堂成親的風俗時有所聞
      1 男生與男生可以結婚	沈德符
      1 男同志祁家威請求與男性公證結婚	並提出同性婚姻法制化的請願
      1 男同志Luke直呼	終於等到了
      1 申請方式	雙方親自申請
      1 由民進黨立法委員蕭美琴提出	同性婚姻法
      1 由於賴士葆	王世勛等23名立委反對連署
      1 由於賴士葆	王世勛等23名立委
      1 由於其廣告內容爭議巨大且有所不實	國家通訊傳播委員會
      1 由尤美女立法委員提案並一讀通過	進入司法法制委員會審議
      1 由婚姻與親職看法律中的異性戀父權與特權	PDF
      1 由台灣同志諮詢熱線協會	台灣同志家庭權益促進會
      1 用選票來做選擇	114
      1 用愛守護立院	與
      1 用平等的心把每一個人擁	入憲法的懷抱
      1 用公務預算支持同志活動	但此議題牽涉到社會基礎的婚姻
      1 生福利部表示	最快8月將修正並公告新版
      1 甚至尊重同志者	但請不要把不堪入耳的影片放在課程
      1 瓦哈卡	金塔納羅奧
      1 瓦利斯和富图纳群岛	圣马丁岛
      1 瓜德罗普	法属圭亚那
      1 環境運動	文化保存運動
      1 瑞士	英國
      1 瑞士	厄瓜多爾
      1 瑞典	葡萄牙
      1 瑞典	瑞士
      1 理由是	反對人士上街頭遊行
      1 現行婚姻規範法源於中華民國	民法
      1 現行	民法
      1 現場群眾歡聲雷動	不少人互相擁抱
      1 現場並無不歡迎不同意見	108
      1 現場並投射	6色彩虹
      1 現在卻變成性解放教育	短短十幾年間
      1 現任總統	民進黨主席蔡英文曾表示除了婚姻
      1 現代社會中還有很多不同的家庭組成方式	若任何人想組成家庭
      1 現代婦女基金會	歐巴桑聯盟
      1 現代婦女基金會	彭婉如基金會
      1 現代國民婚禮	平等結合
      1 現	11月29日司法院聲明公民投票案創制之立法原則
      1 玻利维亚	巴西
      1 现時台灣主流政党包括民主進步黨	時代力量均支持同婚
      1 王鐘銘	梁益誌
      1 王建煊今參加遊行	聯合新聞網
      1 王如玄	范雲
      1 王世勛等23名立委反對連署	其中陳銀河同時加入贊成連署與反對連署
      1 王世勛等23名立委	反對連署
      1 獨家	婚姻平權綠內部民調
      1 犹他	佛蒙特
      1 牽連的法規甚多	影響層面更是廣泛
      1 特色内容	新闻动态
      1 特殊页面	打印页面
      1 特拉斯卡拉州	墨
      1 特拉华	哥倫比亞特區
      1 特別法形式	法制化與否的公民投票
      1 特別法形式	法制化之外
      1 父母用詞改雙親一雙親二	影響
      1 父母決定	民意代表
      1 父母及親人能對同志有更深的了解	並進而支持同志
      1 爱沙尼亚	意大利
      1 爱沙尼亚	德國
      1 爱沙尼亚	8
      1 爱尔兰	哥倫比亞
      1 爭醵錢立廟	果靈驗如響
      1 爭平權	等字樣
      1 爭婚姻平權	民團號召萬人集會
      1 爭取平等結婚權	並批判現存婚姻制度對弱勢的壓迫
      1 爭取婚姻平權	用愛守護立院
      1 爭取同志伴侶權益的合法化	例如結婚權或同居伴侶法
      1 然而於11月17日的召開司法委員會審案中	卻遭部分國民黨委員的強烈杯葛以及部分民進黨立委
      1 然而在同月20日	由於賴士葆
      1 然而	按照屆期不連續的慣例
      1 然而	在同月20日
      1 無配偶	網站無資料
      1 無配偶	申請方式
      1 無論貴賤妍媸	各以其類相結
      1 無法進入立法程序	21
      1 無法有所進展	伴侶盟也宣告將走司法途徑
      1 無意見	2012年12月
      1 烏拉圭	紐西蘭
      1 烏拉圭	委内瑞拉
      1 為聲援同日立法院由尤美女委員召開公聽會	臨時由網路發起的
      1 為第一個開放註記的地方縣市	2
      1 為婚姻平權站出來	音樂會在總統府前凱達格蘭大道登場
      1 為婚姻平權站出來	音樂會
      1 為台灣首次佛化同志婚禮	29
      1 為保障同性戀者人權	明定國家應尊重其權益
      1 為何反同性婚姻平權	法務部
      1 為什麼來自基督教	端傳媒
      1 為了使同性婚姻在台灣合法化	同志團體自2012年起積極推動
      1 為主題	爭取平等結婚權
      1 為主軸議題	讓這個議題開始大量於主流媒體上曝光討論
      1 為35	3
      1 為21	0
      1 炎亞綸	S
      1 灣全國媽媽護家護兒聯盟	簡稱媽媽盟
      1 澳門繁體	大马简体
      1 澳大利亞	奥地利
      1 澳大利亚	紐西蘭
      1 澤西島	拉脱维亚
      1 澎	湖縣
      1 潰瓦解	損害倫理道德
      1 潘明秀殺夫案	林奕含事件
      1 演藝界支持者	張惠妹
      1 演唱會精華整理	原始内容存档于2017
      1 湖縣	花蓮縣與臺東縣尚未表態願意同步實施
      1 游盈隆教我們的玩民調心法	巷仔口社會學
      1 游信義	孫繼正
      1 涉及國情及社會倫理架構	不宜貿然修
      1 活躍教會	佛教弘誓學院
      1 活動進行中間有部分贊成同婚方人士到場表達意見	並爆發了零星的肢體暴力衝突
      1 活動有約兩萬名支持修改民法的群眾聚集在立	法院前支援立法院內的公聽會
      1 活動	訴求包括
      1 洪都拉斯	墨西哥
      1 洪凌	官秀琴
      1 洋领地	皮特凯恩群岛
      1 泽西	墨西哥
      1 泰國	越南
      1 波蘭	英语
      1 波多黎各和美属维尔京群岛以及美国	本土外小岛屿
      1 波多黎各	羅德島
      1 波兰	葡萄牙
      1 法院決定將此案聲請大法官會議釋憲	此後起訴人表示
      1 法院將聲請釋憲	聯合報
      1 法院前支援立法院內的公聽會	早上八點左右已達兩萬人數
      1 法案逼出了台灣社會隱藏已久的	恐同心態
      1 法案進入司法委員會	4
      1 法律修改將導致	家庭結構完全崩壞
      1 法属波利尼西亚	瓦利斯和富图纳群岛
      1 法属圭亚那	马提尼克
      1 法属南方和南极洲领地以及国有荒岛克利珀顿岛	4
      1 法國	冰島
      1 法國	3
      1 法国的所有海外自治领地及属国同样施行同性婚姻	这些海外自治领及属国有
      1 法国的5个海外大区被视作法国本土	与欧洲部分施行同样的法律
      1 法務部表示該公投標的有違憲和侵害立法權之虞	其它意見亦指該公投非單一事項
      1 法務部研擬完成	人權保障基本法草案
      1 法務部的書面意見中	其他反對同志婚姻平權的理由
      1 法務部政務次長陳明堂直言	法務部反對
      1 法務部在同年針對網路族群舉辦的i	vo
      1 法務部反對	理由是
      1 法務部反對	不合人倫
      1 法務部公開反對	2014年
      1 法務部也在隨後2016年11月28日的公聽會上公開表示會以	支持立法委員提案的修改民法為優先
      1 法務部	法務部研擬完成
      1 法務部	只因
      1 法務部	反對
      1 法務部	保障同性伴侶權益方式之民意調查
      1 法務部	人權保障基本法草案
      1 法務部	128
      1 法制化與否的公民投票	該公投提案的題目除了同婚
      1 法制化之外	還包
      1 法	爭平權
      1 況再行安排議程	三項推案最後均隨著2016年第八屆立法院會期結束
      1 没有登录	讨论
      1 沒有承認同性婚姻或同性結合的法律地位	為了使同性婚姻在台灣合法化
      1 沒意見	拒答
      1 沈德符	萬曆野獲編
      1 沃草	同性婚姻及同志收養議題公聽會
      1 決議不受理同性婚姻釋憲聲請案	15
      1 決定承認一起跨性別同性婚姻有效	收回原先予以撤銷的決定
      1 決定先由許淑華	尤美女二位召委於11月24日及28日分別召開一場公聽會
      1 永久失效連結	90
      1 永久失效連結	23
      1 民間舉辦的	模擬憲法法庭
      1 民進黨立法院黨團推動	前副總統呂秀蓮也說
      1 民進黨立法委員蕭美琴提出	同性婚姻法
      1 民進黨獲得國會多數席次	而民進黨總統當選人蔡英文更是選前表達公開支持婚姻平權
      1 民進黨段宜康	國民黨許毓仁投下贊成票
      1 民進黨同志黨工可享婚假	中央通訊社
      1 民進黨主席蔡英文曾表示除了婚姻	夫妻關係的家庭組成外
      1 民進黨	未正式公布
      1 民進黨	國民黨
      1 民調	同性婚姻
      1 民法違憲	限期兩年修法或立法保障同性婚姻
      1 民法血統真實原則有違	也衝擊現有婚姻制度
      1 民法第四編親屬第二章婚姻規定	未使同性別二人
      1 民法婚姻規定應限定在一男一女的結合	6
      1 民法修正草案在國民黨及民進黨均同意下在立法院通過一讀	法案進入司法委員會
      1 民法修正婚姻平權	编辑
      1 民法修正婚姻平權	4
      1 民法修正	初審通過
      1 民法修改為	黑箱作業
      1 民法不修	歧視不休
      1 民法	陳明堂認為為了保障同性伴侶婚姻權益
      1 民法	部分條文修正草案儘速進行二
      1 民法	親屬編
      1 民法	親屬
      1 民法	繼承權
      1 民法	繼承原則
      1 民法	等法律效力
      1 民法	的方式讓同性戀者與異性戀者享有相同的婚姻法源
      1 民法	條文不允許同性婚姻提請司法院大法官釋憲
      1 民法	未保障同性婚姻自由及平等權已屬违宪
      1 民法	2草案初審通過
      1 民意調查	编辑
      1 民意調查	6
      1 民意大逆轉	台灣民意基金會民調
      1 民意代表	人民決定
      1 民報	2014
      1 民團號召萬人集會	中央社
      1 民主進步黨響應2016年10月29日第14屆台灣同志遊行而製作的	民主挺同志
      1 民主進步黨	時代力量等
      1 民主挺同志	彩虹貼紙
      1 比利时	西班牙
      1 比利时	保加利亚
      1 毀家廢婚擴大淫亂	聯合新聞網
      1 段宜康	許毓仁投下贊成
      1 段宜康	許毓仁
      1 段宜康	尤美女
      1 歷史	编辑
      1 歷史	2006年
      1 歷史	2
      1 歧視不休	等訴求
      1 此草案也立即引起了反對同性婚姻團體的強烈反應	隨後支持和反
      1 此次改由以修改民法部分條文的方式進行	11月8日由國民黨立
      1 此後起訴人表示	在其個人臉書上
      1 此後相關法案沉寂一時	直至台灣伴侶權
      1 此後全部直轄市以及部分縣市已先後	開放受理同性伴侶戶政註記
      1 此後	臺北市在6月17日
      1 正方反方各自於濟南路與中山南路聚集舉辦	爭取婚姻平權
      1 正方人數約有三萬人次	反方約八千人左右
      1 正式通過一讀送出委員會	交付大會進行
      1 正式推動	蔡英文推同性婚姻態度堅定
      1 正式將同性伴侶登記結婚一案送交大法官釋憲	48
      1 正反雙方辯論激烈	44
      1 正反雙方街頭見	公視
      1 正反方組織動員	编辑
      1 正反方組織動員	4
      1 正反方意見交鋒	35
      1 正反方下午拚場	聯合新聞網
      1 正	民法
      1 歡聲雷動	中國時報
      1 歐洲同性結合	英语
      1 歐洲	奧地利
      1 歐巴桑聯盟	台灣親子共學教育促進會
      1 歌曲代表	彩虹
      1 權利條文	57
      1 樹黨全黨候選人支持	民進黨
      1 模擬憲法法庭宣判	限制同性婚姻違憲
      1 模擬憲法法庭	模憲字第2號判決
      1 模擬憲法法庭	就同性婚姻召開辯論
      1 模擬憲法法庭	同性婚姻行不行
      1 模憲字第2號判決	43
      1 楊雅惠	王鐘銘
      1 楊芳婉	顧燕翎
      1 楊智達	演藝界支持者
      1 森	中天
      1 條文不允許同性婚姻提請司法院大法官釋憲	反对人
      1 條保障人民平等權之意旨有違	有關機關應於本解釋公布之日期兩年內
      1 條保障人民婚姻自由	及第
      1 梁益誌	呂欣潔
      1 案通過同性婚姻不直接修改民法	會以其他形式讓其釋字第748號釋憲
      1 案得以實現	司法院聲明依此立法原則所審議完成之法律
      1 桃園市政府	同性伴侶所內註記
      1 桃園市	76
      1 格雷罗州	纳亚里特州
      1 格陵蘭	洪都拉斯
      1 根西	奥尔德尼
      1 根據	蘋果日報
      1 核其所陳	係以其個人見解對現行婚姻制度有所指摘
      1 校園同志甦醒日	臺灣同志遊行
      1 柯建銘	查
      1 柯佳嬿	陶晶瑩
      1 柬埔寨	中華人民共和國
      1 查看历史	_
      1 果靈驗如響	凡偷期密約
      1 林鴻池未明確表達贊成或反對	最後會議並未有具體結論
      1 林靜儀	李晏榕
      1 林逸欣	蔡昇晏
      1 林芳玫	張小虹
      1 林淑芬發言表示贊同	廖正井及呂學樟表示反對
      1 林憶蓮	丁寧
      1 林實芳	百年對對
      1 林奕含事件	臺灣體操教練被控性侵案
      1 東台灣守護幸福家庭行動聯盟	台灣公民權團結組織
      1 東	森
      1 条目有永久失效的外部链接	Webarchive模板wayback链接
      1 条目	讨论
      1 李貴敏	林鴻池未明確表達贊成或反對
      1 李李仁	修杰楷
      1 李晏榕	LGBT
      1 李天柱	趙天麟
      1 李元貞	王如玄
      1 朱武獻	柯建銘
      1 本页面最后修订于2019年1月10日	星期四
      1 本院對於全國性公民投票案第10案及第12案創制之立法原則不能牴觸釋字第748號解釋之說明	89
      1 本院對於全國性公民投票案第10案及第12案創制之立法原則不能牴觸釋字第748號解釋之說明	8
      1 本院對於全國性公民投票案第10案及第12案創制之立法原則不能牴觸釋字第748號解釋之說明	65
      1 本站的全部文字在知识共享	署名
      1 本条目的引用需要进行清理	使其符合格式
      1 本文記述一項臺灣新聞動態	隨着事件發展
      1 本土外小岛屿	6
      1 未進入立法程序	21
      1 未正式公布	134
      1 未保障同性婚姻自由及平等權已屬违宪	要求行政和立法机关两年内完成相關法律
      1 未來則視情	況再行安排議程
      1 未使同性別二人	而為經營共同生活之目的
      1 未	部分区域实行同性婚姻
      1 未	哥斯达黎加
      1 期待立法院儘速通過婚姻平權	102
      1 朝向親密關係民主化的立法運動	PDF
      1 服務辦法	若黨工和其伴侶為縣市戶政註記中
      1 有高達84	1
      1 有關機關應於本解釋公布之日期兩年內	依本解釋意旨完成相關法律之修正或制定
      1 有相互照顧	共同生活
      1 有的權利與配偶不同	為21
      1 有所求而不得者	咸往禱焉
      1 有同樣由宗教人士組成的	ＣＥＦ中間選民論壇
      1 有句話對你說	愛情的模樣
      1 有別以往的三案並行的工程浩大	此次改由以修改民法部分條文的方式進行
      1 有不認識的網友做出死亡威脅	陳敬學與高治瑋在不滿司法系統拖延
      1 有一對女性向台北地方法院公證處要求公證結婚遭拒	11
      1 會期司法及法制委員會舉行	用平等的心把每一個人擁
      1 會後新聞稿	132
      1 會出現在戶籍謄本	身份證等書面文件上
      1 會以其他形式讓其釋字第748號釋憲案得以實	現
      1 會以其他形式讓其釋字第748號釋憲	案得以實現
      1 會以其他形式讓其釋字第748號釋	憲案得以實現
      1 會中立委意見分歧	不少委員迴避拒審
      1 會中因部分立委及民眾強烈反對引發肢體衝突	決定先由許淑華
      1 最近更改	随机条目
      1 最終完成兩案審議	分別為
      1 最新調查	2X歲民眾高達84
      1 最新	新竹市政府對於同性伴侶註記的回應
      1 最快8月將修正並公告新版	手術同意書及麻醉同意書格式
      1 最快4月三讀	上報
      1 最後會議並未有具體結論	主席尤美女宣布會議結束
      1 曼島	意大利
      1 曼尼托巴	新不倫瑞克
      1 書面	向戶政機關辦理結婚之登記
      1 書中提出以現代人權為基礎的婚姻價值	以因應時代演進及性別平等觀念
      1 更多	搜索
      1 智利	塞浦路斯
      1 智利	哥伦比亚
      1 晶晶書庫	同光同志長老教會
      1 普埃布拉州	下加利福尼亚州
      1 時力提案三讀婚姻平權遭封殺	段宜康
      1 時任法務部長為陳定南	是台灣史上第一次將同性婚姻與子女收養為基本人權置入法條的法案
      1 時任國民黨立委的林滄敏表示	明天將在國民黨中常會提案
      1 時代力量等	中國國民黨亦有部分立委支持
      1 時代力量均支持同婚	2016年11月8日
      1 時代力量在內部分立委宣告將再次推動婚姻平權法案	55
      1 時代力量	綠黨社會民主黨聯盟
      1 時代力量	綠黨
      1 是维基媒体基金会的商标	维基媒体基金会是按美国国內稅收法501
      1 是毀家廢婚的法案	89
      1 是怎麼寫的	113
      1 是家庭健康的要素	家庭健不健康
      1 是否支持民法婚姻規定限定為1男1女之公投案	117
      1 是台灣史上第一次將同性婚姻與子女收養為基本人權置入法條的法案	2003年
      1 星期四	07
      1 明白	有句話對你說
      1 明尼蘇達	蒙大拿
      1 明定性傾向自由權利不應被歧視	性別人權協會
      1 明定國家應尊重其權益	同性戀者得依法組成家庭及收養子
      1 明媒正娶地把她娶進門	9
      1 明天將在國民黨中常會提案	要求黨團全力
      1 旺旺中時民調中心	國人對同性婚姻合法化看法調查
      1 早上八點左右已達兩萬人數	105
      1 早上九時起反對方發生暴力行為	除丟執煙霧彈等物品外
      1 日本	南韓
      1 日期	维基百科来源清理
      1 日期	發布單位
      1 日期	事件
      1 日日春關懷互助協會	臺灣TG蝶園
      1 日後不能依此主張分遺產	註記也不
      1 日司法及法制委員會初審通過之條文	在明年啟動朝野協商之前
      1 施寄青	大桃阿嬤
      1 於現場播	出
      1 於此範圍內	與憲法第
      1 於是尤美女委員	敲定增開兩場公聽會
      1 於撥出當日便收到上千封的抗議信函	N
      1 於台灣各大電視媒體買下多個時段的廣告	包含教育篇
      1 於台北市福華飯店	公開舉行臺灣首場同性婚禮
      1 於台北凱達格蘭大道	台中水利會廣場
      1 於2013年1月23日撤銷告訴	27
      1 方针与指引	互助客栈
      1 新頭殼	2018
      1 新頭殼	2015
      1 新頭殼	2013
      1 新闻动态	最近更改
      1 新聞稿	126
      1 新罕布什爾	新澤西
      1 新竹市政府對於同性伴侶註記的回應	酷新聞
      1 新竹县	78
      1 新澤西	新墨西哥
      1 新新聞	社會事
      1 新斯科舍	安大略
      1 新店行道會	臺北靈糧堂
      1 新墨西哥	紐約州
      1 新喀里多尼亚	法属波利尼西亚
      1 新北市政府民政局	www
      1 新北市政府	戶政新服務
      1 新北市	74
      1 新加坡简体	台灣正體
      1 新不倫瑞克	紐芬蘭與拉布拉多
      1 斯洛文尼亚	阿鲁巴
      1 斯洛文尼亚	西班牙
      1 斯洛伐克	斯洛文尼亚
      1 文化保存運動	性別平等運動
      1 文	傳會及婦女部
      1 數開始激增	群情激憤並與警方發生衝突
      1 敲定增開兩場公聽會	分別於11月17日以及11月28號舉辦
      1 教育部也在之後發表正式聲明表示其所指稱的部分並非	事實
      1 教育程度越高也越支持	大學
      1 效力之司法院解釋	88
      1 故大力反對以修改	民法
      1 政黨傾向的影響	在國民黨和民進黨支持者無明顯差別
      1 政黨	時代力量
      1 政黨	天宙和平統一家庭黨
      1 政綱亦未主要提及會立法推動同性婚姻	在成為總統後
      1 政治運動	司法改革運動
      1 政治團體	安定力量
      1 政治主题	Nuvola
      1 收回原先予以撤銷的決定	32
      1 支持者與其主張	编辑
      1 支持者與其主張	4
      1 支持維持現狀	不必特別保障為31
      1 支持立法委員提案的修改民法為優先	2016年12月26日
      1 支持的團體有婦女新知基金會	台灣人權促進會
      1 支持的人士主張平等的婚姻權	認為夫妻關係中的贈與
      1 支持方	政黨
      1 支持度降低約十個百分點	顯示年齡越高越保守
      1 支持度最高	之後每增加十歲的級別
      1 支持同性戀都只是假尊重	伴侶盟與所有支持
      1 支持同性婚姻的比例較高	2014年12月
      1 支持同性婚姻的大約500名人	士也在立法院外排出
      1 支持同性婚姻團體發起婚姻平權快閃活動	邀集500人
      1 支持56	3
      1 支持	多元成家
      1 支持	同性伴侶可以登記取得類似配偶的身分
      1 支持	同性伴侶可以合法結婚
      1 支持	127
      1 據口述歷史	大谷部落排灣族曾將男生跟男生同住一起
      1 據	臺灣日日新報
      1 擁抱	雌雄同體
      1 擁抱	性權
      1 撤告	同志婚姻釋憲無望
      1 搜索	前往
      1 搜索	____________________
      1 損害倫理道德	是毀家廢婚的法案
      1 推動婚姻登記行政訴訟	43
      1 排字活動是呼籲立法院正視人民需求	繼續推動人權跟婚姻平等的草案
      1 排出	婚姻平權
      1 捷克	瑞士
      1 捷克	丹麥
      1 捍衛家庭學生聯盟	臺灣家庭協會
      1 捍衛家庭學生聯盟	簡稱捍家盟
      1 挺婚姻平權	民進黨同志黨工可享婚假
      1 挺婚姻一男一女	37
      1 挺同齊聚	歡聲雷動
      1 挺同志婚姻合法化	基督天主教徒32
      1 挺同婚團體號召上萬名群眾集結於立法院旁青島東路	同步解讀解釋文
      1 挺同反同集會各據一方	蘋果日報
      1 挺同反同勢均力敵	40歲以下挺同居多
      1 挪威	瑞典
      1 挪威	波兰
      1 按照屆期不連續的慣例	婚姻平權法案
      1 持同婚的民法派認為如此形同隔離政策	现時台灣主流政党包括民主進步黨
      1 持反對意見的團體曲解草案內容	反同勢力的恐慌也壓縮理性討論空間
      1 持兩人以上證人簽名之	書面
      1 括是否支持與同性戀有關的性別教育課程納入十二年國民基本教育國中小課程範圍	是否支持民法婚姻規定限定為1男1女之公投案
      1 拒答	備註
      1 拒同志教育	CEF邀連柯談兒少教育政策
      1 拉脱维亚	列支敦士登
      1 拉拉資推工作室	跨性別倡議站
      1 折衷不動民法972條	增列第二項規定同性婚姻
      1 把此議題交由	民進黨立法院黨團推動
      1 把多元	成家三項不同法案混在一起談
      1 承认同性婚姻	阿魯巴
      1 托洛繆島	圣皮埃尔和密克隆群岛
      1 打印页面	固定链接
      1 打印	导出
      1 手術同意書及麻醉同意書格式	其中將在醫療法關係人
      1 手術同意書8月大翻新	同性伴侶也可簽
      1 手机版视图	Wikimedia
      1 手天使	社運者
      1 所謂的跨性別	支持同性戀都只是假尊重
      1 所有條文	外部版
      1 所以在實務上許多醫院仍然拒絕承認同性伴侶戶政	註記的效力
      1 戶政新服務	新北市政府民政局
      1 戴口罩的糾察人員以手拉手	的方式包圍
      1 我的驚訝竟是曾祖母的不驚訝	同性戀原本就是自然
      1 我是基督徒	你請看
      1 我支持婚姻平權	TVBS
      1 我支持	連署行動
      1 我們的性教育	從兩性教育到性別平等教育
      1 我們尊重2性的平等互重	甚至尊重同志者
      1 成立具有親密性與排他性永久結合關係	於此範圍內
      1 成為婚姻平權草案的提案	人或連署人
      1 成為亞洲首例	4
      1 成家三項不同法案混在一起談	並製作各種曲解法案的不實文宣散佈在網路上
      1 應多舉辦幾次公聽會討論	馬英九表示
      1 憲案得以實現	11月29日司法院聲明公民投票案創制之立法原則
      1 憂民眾對	多元成家草案
      1 慰安婦問題	鄧如雯殺夫案
      1 愛爾蘭	曼島
      1 愛滋病患年輕化增加健保負擔	以及
      1 愛滋年輕化小心男男性行為	意圖將同性戀與愛滋
      1 愛最大	倡婚姻平權
      1 愛情的模樣	透露
      1 愛德華王子島	魁北克
      1 愛台灣久久久	宗教團體
      1 意的是除未出席的立委以外	只有時代力量出席立委
      1 意大利	澤西島
      1 意大利	斯洛文尼亚
      1 意圖將同性戀與愛滋	病劃上等號並以不實資料散播謠言
      1 愈沒有明確宗教信仰者	支持同性婚姻的比例較高
      1 想要跟女生一起生活	她的父母皆歿
      1 想想論壇	92
      1 惟該草案有部份內閣成員反對	未進入立法程序
      1 惟後來該草案有部份內閣成員反對	無法進入立法程序
      1 您是否同意	以民法婚姻規定以外之其他形式來保障同性別二人經營永久共同生活的權益
      1 恰帕斯州	普埃布拉州
      1 恐同心態	所謂的跨性別
      1 性解放草案	一概反對
      1 性權	事件
      1 性婚姻入法公聽會	公聽會開場
      1 性別都真實存在於生活週遭	同志跟不同性傾向的人
      1 性別變更登記	台灣國際酷兒影展
      1 性別平等運動	學生運動
      1 性別平等教育法	多元成家立法草案
      1 性別人權協會	21
      1 性別人權協會	2006
      1 性別人權協會	16
      1 性交易政策	兩小無猜條款
      1 怀俄明	印第安部落
      1 必須退回程序委員會審議	10月31日
      1 必須退回程序委員會審	議
      1 德國	芬蘭
      1 德國	澳大利亞
      1 德克萨斯	犹他
      1 從小不愛男生	想要跟女生一起生活
      1 從兩性教育到性別平等教育	現在卻變成性解放教育
      1 從	同性婚姻
      1 後日生計及娶妻諸費	俱取辦於契兄
      1 影響層面更是廣泛	法務部的書面意見中
      1 影響	民法
      1 影響	下一代教育國小性教育加入性慾探索教材
      1 影片與逐字稿	46
      1 影片	婚姻平權
      1 彰化縣政府	彰化縣同性伴侶所內註記作業應注意事項
      1 彰化縣同性伴侶所內註記作業應注意事項	自105年4月1日實施
      1 彰化县	77
      1 彭婉如遇害事件	潘明秀殺夫案
      1 彭婉如基金會	臺北市晚晴婦女協會
      1 彭婉如	施寄青
      1 彩虹貼紙	支持的人士主張平等的婚姻權
      1 彩虹	盛夏光年
      1 彩紅點亮立院	挺同齊聚
      1 張惠妹	蔡依林
      1 張小虹	楊芳婉
      1 張守一	雷倩
      1 張全鋒	張守一
      1 弟之父母撫愛之如婿	弟
      1 弟	後日生計及娶妻諸費
      1 弘誓雙月刊	30
      1 引超過二十五萬人現身參與	警方僅估計在申請區內之人數
      1 引用本页	其他语言
      1 引文格式1错误	日期
      1 开发者	Cookie声明
      1 廣告內容指稱	民法修改為
      1 廣告主題為	百萬家庭站出來
      1 廖正井及呂學樟表示反對	李貴敏
      1 康涅狄格	特拉华
      1 庫拉索及荷屬聖馬丁	英语
      1 度	家屬制度尚未提案
      1 床墊等物品多次衝撞試圖進入立法院	約有50人成功闖入立法院前廣場並旋即被警方逮捕
      1 幾乎和護家盟意見一模一樣	82
      1 幸福盟	要公投
      1 年齡限制	年滿20歲
      1 年齡越輕越支持	20
      1 年過而立	尚寢處如伉儷
      1 年滿20歲	配偶限制
      1 年滿20歲	網站無資料
      1 平等結合	互助包容
      1 平權音樂會	以雷射秀向總統府打出訴求
      1 平權相關的議題也常為社會討論	但
      1 幕後	小段槓老柯
      1 帮助	维基社群
      1 帮助	帮助
      1 帮助	118
      1 希腊	爱沙尼亚
      1 希腊	匈牙利
      1 希望讓每個同志都能擁有組織家庭的自由選擇權利	除此之外也希望透過對同志父母親人等議題的討論
      1 希望讓台灣早日達成婚姻平權	以及保障多元家庭
      1 希望能喚醒外界重視婚姻平權法案	53
      1 希望反同勢力不要再妖魔化婚姻平權法案	伴
      1 巷仔口社會學	相關連結
      1 巴西	阿拉戈斯州
      1 巴西	法國
      1 巴拉圭	秘鲁
      1 已通過中央黨部黨務工作人員	服務辦法
      1 工具	链入页面
      1 屬立法形成之範圍	逾期未完成相關法律之修正或制定者
      1 屆第	6
      1 屆期不連續原則而無疾而終	民法修正婚姻平權
