      2 这是一件大事	如果我说错了也没关系	承认错了就行了
      1 他说	婚姻自由是写在里面的	为什么同性恋不可以结婚
      1 他说	如果胜诉	希望能立马叫上亲人
      1 他说	去年12月16日	孙文麟向长沙芙蓉区人民法院递交材料
      1 他表示	此案的积极意义在于能让人们开始关注到同性恋也有婚姻需求	以及其他民事权利如继承
      1 他曾尝试交往了几个女朋	友	但从没敢越雷池半步
      1 他是家中独苗	父母忙于工作	文麟从小跟在爷爷奶奶身边
      1 他收到法院正式下发的受理案件通知书	消息传	开
      1 他打了个有趣的比方	比如说要保护外星人	可是外星人在哪里呢
      1 他想到了走法律的途径维护自己结婚自由的权利	这是一件大事	如果我说错了也没关系
      1 他害怕没脸面去见先人	孙文麟父亲坦言	走到这一步
      1 他向芙蓉区人民法院递交诉状	起诉民政局行政	不作为
      1 他发现竟然是男性的裸体对他更有吸引力	从惊慌中回过神的孙文麟开始在网上查阅	同性恋
      1 他发现很多人对同性恋存恐惧心理	为了保护自己	同时搞清楚自己的取向
      1 他却说	同志身份是看不出来的	如果你不走出来
      1 他作为家中独子	同性恋的身份没法替家族延续香火	这是压在父亲心头的一块大石
      1 他们要登记结婚	人来人往的结婚登记大厅	两个男人的结婚申请却让登记员犯了难
      1 他们背后的辛酸	你了解多少	航天英雄岂容诋毁
      1 他们父子一直处于冷战状态	出柜	的不顺利也让孙文麟反应过来
      1 他们一直两情相悦	去年6月	美国宣布全美
      1 他从不隐瞒自己的	同志	身份
      1 他一直以为自己不会结婚	个性沉稳	体贴细
      1 从老家带来的户口本	他们要登记结婚	人来人往的结婚登记大厅
      1 从此合法生活在一起	学者点评	孙文麟对
      1 从惊慌中回过神的孙文麟开始在网上查阅	同性恋	他发现很多人对同性恋存恐惧心理
      1 从大学到职场	他从不隐瞒自己的	同志
      1 今起又降温	温补首选羊肉	大麻种植窝点藏身小区24楼
      1 今年份健康礼包有惊喜	广东老司机	春运出行最高峰在1月26日
      1 人来人往的结婚登记大厅	两个男人的结婚申请却让登记员犯了难	一轮轮请示和询问过后
      1 五一	很久没有一起出游的孙文麟和母亲相约去橘子洲头谈心	整个下午
      1 云浮	全力打造环珠三角经济带发展新引擎	南方融媒体专区
      1 于是他开始大量阅读与同性恋相关的书籍	学术论文	逢年过
      1 二人结婚登记遭拒后	苦闷中孙文麟想起	同志扭转治疗案
      1 二人等来了回复	对不起	暂时没有这项业务
      1 二人决定登记结婚	二人结婚登记遭拒后	苦闷中孙文麟想起
      1 了手	奶奶抹着眼泪说	需要时间去接受
      1 了	我就是喜欢男生	孙文麟说完这句
      1 乡村文化于外界的突围和反哺	小寒胜大寒	今起又降温
      1 乡村	简	繁
      1 也清楚	同性恋生育在技术	上已不是问题
      1 也是在那时	孙文麟第一次听到	玻璃
      1 也只是第一步	孙文麟想要的不仅仅是	被看到
      1 也交往过几个男友	他逐渐意识到	自己就是喜欢男人
      1 之后近十	年	他们父子一直处于冷战状态
      1 久而久之	微妙的变化发生了	最先转变的是孙文麟母亲
      1 为什么同性恋不可以结婚	孙文麟记得	自己跟家里提结婚的事
      1 为什么不能做自己呢	言犹在耳	只不过这次面对的是自己的儿子
      1 为了保护自己	同时搞清楚自己的取向	他曾尝试交往了几个女朋
      1 中国社科院社会学所研究员	性学家李银河在接	受南都记者电话采访时表示
      1 中国目前尚无同性恋者成功登记为合法夫妻的案例	此案也许将成为	同
      1 中国新闻	广东新闻	更多
      1 中国新闻	同性恋婚姻维权第一案	孙文麟
      1 中国同性恋扭转治疗第一案在北京海淀法院一审判决	判决中明确指出	同性恋不是精神疾病
      1 中国	国际	经济
      1 个性沉稳	体贴细	致的老胡改变了他
      1 两个男人的结婚申请却让登记员犯了难	一轮轮请示和询问过后	二人等来了回复
      1 专题	公告	英文
      1 与生俱来	无法改变和选择	这是一种本能
      1 不过孙文麟本人并不担心	现在没有对话	就会觉得自己百分之百赢
      1 不过	父亲仍是家中最大的	阻力
      1 不用躲躲藏藏	此后	母亲甚至会带小姐妹参加儿子组织的同性恋讲座
      1 不怕受到歧视	他却说	同志身份是看不出来的
      1 不作为	诉状终在1月5日得到	受理
      1 不作为	1月5日	他收到法院正式下发的受理案件通知书
      1 上已不是问题	只不过我认为生不生是我的自由	持续
      1 三步走	做北上广三足鼎立师范大学	噓
      1 万物生长无人阻挡	小学高年级时	小男生常常下课时扎堆玩耍
      1 一轮轮请示和询问过后	二人等来了回复	对不起
      1 一码通用	今年份健康礼包有惊喜	广东老司机
      1 一男一女	她认为孙文麟的解读可看做是一种比较特别的解读	李银河认为
      1 一段尘封往事在她脑海中浮现	当年	一位与她共事的男性好友悄悄告诉她
      1 一校九门	省实	家族
      1 一对同性恋情侣也渴望冲进来	婚姻法	规定的
      1 一夫一妻	确指	一男一女
      1 一夫一妻	改为	配偶
      1 一天天消沉	她也心疼了	同时
      1 一场婚礼	从此合法生活在一起	学者点评
      1 一位与她共事的男性好友悄悄告诉她	我是同志	但请为我保密
      1 Submit	搜索	南方网
      1 QQ空间	微博	0
      1 png	回到顶部	网站简介
      1 nfwwxgzh	png	回到顶部
      1 nfw	cover	jpg
      1 jpg	渴望婚姻的	同志
      1 jpg	总第296期	南方
      1 jpg	南方网	要闻
      1 jpg	d0278891c75b1da786d010	jpg
      1 IT	旅游	教育
      1 ICP备案号	粤B	20050235
      1 htm	QQ空间	微博
      1 EN	南方网	____________________
      1 d0278891d9ba17ffe37f57	jpg	渴望婚姻的
      1 d0278891c75b1da786d010	jpg	总第296期
      1 cover	jpg	南方网
      1 content_151205614	htm	QQ空间
      1 b8975a50e7711dacaf1e01	jpg	d0278891c75b1da786d010
      1 87373397	18122015068	ICP备案号
      1 4纸打印的	婚姻法	跟工作人员理论
      1 46	来源	南方都市报
      1 27岁的孙文麟生于湖南长沙	和很多80后一样	他是家中独苗
      1 26岁决心和男友走进婚姻殿堂	作为	同志
      1 2019春运将至	广州火车站提前谋划春运准备工作	广东省网信办会同多部门依法查处五家语音直播平台
      1 2019年珠三角准备好了吗	泪目	艺考不易
      1 2016	01	13
      1 2015年6月23日	正值盛夏	孙文麟和相恋一年的同性男友老胡走进长沙市芙蓉区民政局
      1 2014年12月	中国同性恋扭转治疗第一案在北京海淀法院一审判决	判决中明确指出
      1 2012年	李银河发表	公众对同性恋的态度及影响因素
      1 20050235		
      1 1月5日	他收到法院正式下发的受理案件通知书	消息传
      1 18122015068	ICP备案号	粤B
      1 14岁时	孙文麟在奶奶的70岁生日宴上当着十多位亲朋的面	出柜
      1 14岁勇敢	出柜	26岁决心和男友走进婚姻殿堂
      1 13	08	46
      1 12岁发现自己是喜欢男生的	彩虹男孩	14岁勇敢
      1 08	46	来源
      1 01	13	08
      1 0	回到首页	nfwwxgzh
      1 ____________________	Submit	搜索
