      2 税收	遗产	生养子女以及做出医疗决定的权利
      1 Submit	打开App	热门文章
      1 Submit	打开App	2016年11月8日
      1 Shane的同性伴侣Thomas因意外坠楼身亡	在Tom死后	Shane发现自己被彻底切断了和Tom所有遗物的关联
      1 Shane发现自己被彻底切断了和Tom所有遗物的关联	两人的共同	财产也没能受到合法的保护
      1 png	创作你的创作	接受世界的赞赏
      1 misc	logo	805143dd
      1 logo	创作你的创作	免费下载
      1 logo	805143dd	png
      1 LGBT是女同性恋者	男同性恋者	双性恋者与跨性别者
      1 LGBT是一个特别少的群体	那么同性婚姻对于其他人来说就不	是当务之急
      1 LGBT	的含义	3
      1 LGBT	一词便应运而生	并逐渐普及
      1 LGBT	LGBT是女同性恋者	男同性恋者
      1 JavaScript	的执行	请开启后重新打开该页面
      1 HUNTER	屁股猎人	在大中华地区
      1 ASS	HUNTER	屁股猎人
      1 805143dd	png	创作你的创作
      1 6lie	简书作者	2016
      1 5个	为发展中国家	多为欧洲国家
      1 5	双性恋是4	跨性别者的比例更低
      1 4	超过半数的人对台湾同性婚姻合法化持积极态度	对于同性恋者
      1 4	传统道德观念和宗教信仰的限制	传统的家庭结构受到挑战
      1 3	约十分之一的调查对象认为同性交往是错误的	约五分之一的调查对象认为同性婚姻合法化是错误的
      1 3	与同性婚姻合法化所配套的制度还有诸多不健全	户籍制度
      1 2016年中国台湾地区民间对同性婚姻的支持率约为60	中国香港约为40	中国大陆地区约为20
      1 2016年12月12日台南女老师真空上街力挺同性婚姻合法化	早在2014年底	台湾历史上首次在
      1 2016年11月8日	台湾	立法院
      1 2016	12	14
      1 2011年5月	Shane的同性伴侣Thomas因意外坠楼身亡	在Tom死后
      1 20	16年初	一对同性伴侣因登记结婚遭拒
      1 2	约两成的人不关心同性恋人群的各种问题	有超过一半的人并不了解
      1 2	大众对于LGBT人群的认识不够	社会的认同程度不够
      1 1月28日开庭日	被告方申请延期	这被称作中国
      1 1990年代	由	于
      1 180	问卷统计来自韩蕊	上图为其中一题
      1 180	统计图由张柳根据2016年数据制作	上表显示
      1 180	图片来自网络	背景介绍
      1 180	图片来自网络	欧美就更加了
      1 180	图片来自网络	当然
      1 180	图片来自网络	婚姻的社会学解释
      1 180	图片来自网络	大陆的婚姻法也保障了夫妻双方包括经济
      1 180	图片来自网络	和这些对比
      1 180	图片来自网络	同性婚姻支持者定义的婚姻
      1 180	图片来自网络	4
      1 180	图片来自	中国台湾网
      1 180	图片为谷歌撤销反同性恋游戏	ASS
      1 180	图片为纪录片	再见
      1 180	图片为	同性婚姻维权第一案
      1 180	6lie	简书作者
      1 16年初	一对同性伴侣因登记结婚遭拒	起诉湖南省长沙市芙蓉区民政局行政不作为
      1 14	14	13
      1 14	13	Submit
      1 13	Submit	打开App
      1 12	14	14
      1 1	少数人的特殊的利益表达机制不完善	据统计
      1 1	大致五成的大学生身边有同性恋者	大致五成的大学生身边有同性恋情侣
      1 __________________________________________________________________	misc	logo
