      3 同性婚姻合法化之後	社會會變成甚麼樣子	來看國外的統計分析結果
      1 南非	阿根廷及美國同婚通過後國家總生育率	反對同婚者循著全球發展程度的角度
      1 升人們的性別意識	減少權力分布的性別差異	因此
      1 包括通過後隔一年的自然災害發生率及後果	死亡率	人民的平均餘命
      1 包括病理化同性戀	認為同性婚姻將造成社會問題	與道
      1 包括民事締結或婚	姻合法化	法案之後
      1 包括2006年接連通過同性伴侶擁有伴侶權及婚姻權的南非	2010年通過同性婚姻權	的阿根廷
      1 包括	同性戀	已在1987年出版的精神醫學臨床診斷手冊中
      1 包含生育率下降	違反自然律的災難懲罰	以及愛滋病蔓延的疑慮
      1 加上今年的兩場公聽會	總計開了至少十場同性婚姻公聽	會
      1 則基於宗教或傳統文化的家	庭倫理	堅守反對立場
      1 到同性婚姻合法化	代表開放同性伴侶擁有民事締結的權利	仍無法解決同性伴侶在法律上的不平等
      1 初審通過	一張圖看懂全球195國	同性婚姻
      1 分析結果大致上同樣顯示	反同婚立場所擔憂的社會衝擊	皆未達顯著效果
      1 分析了2014年尤美女委員所主持的公聽會反方立場之論述	包括病理化同性戀	認為同性婚姻將造成社會問題
      1 分享觀點從這開始	會員登入	會員註冊
      1 分享觀點從這開始	Copyright	2018
      1 再者	台灣社會變遷基本調查2012	2015年的調查結果顯示
      1 具體的研究與數據顯示	社會對於同性婚姻合法化及對同志的認同	絕非反對者口中的
      1 六	自由時報	2014
      1 八	自由時報	2016
      1 僅有南非	阿根廷	美國三國直接通過同性婚姻合法化
      1 健康	科學	職場
      1 健康	Health	社會
      1 便是同性之間可以結婚將會降低生育率	使少子化現象惡化	進而導致人類滅絕
      1 來試試我們的新功能	我們想讓你知道的是	從各國的經驗來看
      1 來看國外的統計分析結果	同性婚姻合法化之後	社會會變成甚麼樣子
      1 來看國外的統計分析結果	今日熱門	熱門議題
      1 來看國外的統計分析結果	Photo	Credit
      1 來化解雙方的歧見	同婚合法化的社會共識	王大維
      1 使用條款	廣告內容政策	聯絡我們
      1 使用條款	廣告內容政策	專欄作者
      1 使少子化現象惡化	進而導致人類滅絕	2014年馬政府執政時期
      1 作為一個社會學科普的公共部落格網站	希望以社會學的角度來觀察	評論當前的社會現象
      1 但這是透過社會中既有的不平等分布	政治經濟等因素	造成人們不均等的受災風險及差異性的
      1 但若僅分析同性婚姻合法化之影響	分析結果大致上同樣顯示	反同婚立場所擔憂的社會衝擊
      1 但正	反方的意見仍舊分歧	難有交集
      1 但從表一來	看	通過同性婚姻法案者
      1 但實際上	表三第二欄的分析結果顯示	自然災害的發生
      1 但同婚合法化並沒有因而造成該國社會動盪	以及	生育率降低等危機
      1 以隨機效果模型	註四	探討各國在通過同性共組家庭
      1 以色列則僅承認其他國家締結的婚姻	而未承	認本國的同性婚姻
      1 以回應對於同性婚姻合法將造成社會問題	影響性別態度	甚至是疾病傳播等疑慮
      1 以及自然災害帶來的死亡	與該國是否通過同性婚姻合法與否無關	雖然我們知道天災常以人禍的形式對人們的生命
      1 以及愛滋病蔓延的疑慮	並透過實證資料檢驗其觀點的合理性	提供社會大
      1 以及代表性別態度	的兩性權力分布平等化指標	生育率不會下降
      1 以及不平等的家庭性別分工等更可能是降低異性戀家庭生育率的主因	上帝並不會懲罰同婚的國度	第二
      1 以及	生育率降低等危機	見表一
      1 以上反同立場	從同性之間缺乏	自然
      1 代表開放同性伴侶擁有民事締結的權利	仍無法解決同性伴侶在法律上的不平等	最終仍需要承
      1 仍無法解決同性伴侶在法律上的不平等	最終仍需要承	認同性婚姻權才能解決問題
      1 今日熱門	熱門議題	男嬌娥
      1 人類不會滅絕	首先	反同陣線對於同性婚姻合法化的第一個疑慮
      1 人民的平均餘命	HIV盛行率	以及代表性別態度
      1 人民才能夠	接受	同性婚姻合法化
      1 五	此部分將同性婚姻合法化及伴侶權合併分析	是受限於資料庫僅到2013年
      1 二	Yen	hsin
      1 也就是人們不會因為性別	而受到不平等的對待或不同的生命機會	那麼同性婚姻合法化將有助於提
      1 九	義大利於2016年通過同性民事締結合法化法案	本文經巷仔口社會學授權刊登
      1 之間的連結	在於	不安全的性行為
      1 主要效果來自於世代替代效果	教育程度	提升
      1 主要原因在於這些國家有明確地通過民事締結的相關法令時程	四	控制變數包括國家政體
      1 並非都是反對方口中的	高度開發	國家
      1 並透過實證資料檢驗其觀點的合理性	提供社會大	眾
      1 並擔心同性婚姻會造成少子化	衝擊我國人口存續	註六
      1 並保障人民有不同婚姻選擇的機會	是一個民主政體的共	同目標
      1 並不會降低生育率	危及人類的存續	與其擔憂同性婚姻合法化對生育率造成的威脅
      1 並不存在顯著關係	無論是男性或女性的愛滋病感染率	都不因同性婚姻合法化與否而改變
      1 世界領頭羊國家通過同性婚姻合法化	認為同性婚姻法制化會帶來社會動盪	提出採用專法取代修改
      1 且若要分析通過同性婚姻隔一年的國家發展狀態	就僅能採計2012年通過	同性婚姻法案的國家
      1 且同意人數在兩次之間的調查是遞增的	具體的研究與數據顯示	社會對於同性婚姻合法化及對同志的認同
      1 不會造成人類滅絕	上帝不會降天譴	疾病不會因此大爆發
      1 不會減少生育率	不會造成人類滅絕	上帝不會降天譴
      1 不安全的性行為	而非	不同性別組成的性行為
      1 不同性別組成的性行為	因此	在目前具有
      1 不同個體的尊重	減少了因為性別而異的差別待遇	唸給你聽
      1 不包括墨西哥及以色列	因為墨西哥僅限特定州	或需透過法院訴訟
      1 不利於台灣的家庭延續與人口發展	以上反同立場	從同性之間缺乏
      1 不僅不會影響社會的性別教育	反而可能有機會提升兩性	性別之間權力分布更平等
      1 上帝會降下天災以懲罰同性婚姻及墮胎合法化	但實際上	表三第二欄的分析結果顯示
      1 上帝並不會懲罰同婚的國度	第二	有些極端的宗教人士宣稱同性戀是罪
      1 上帝不會降天譴	疾病不會因此大爆發	反而透過
      1 三	同性婚姻合法化國家在此僅顯示21國	不包括墨西哥及以色列
      1 七	維護家庭價值	反對同性婚姻入法
      1 一位義大利神父指稱義	大利北方發生的地震	是上帝對同性婚姻合法化的懲罰
      1 一	Wang	T
      1 Youtube	Line	Google
      1 Yokohama	Japan	二
      1 Yen	hsin	Alice
      1 Y	H	and
      1 Y	2016	Themes
      1 www	googletagmanager	com
      1 Wu	Y	H
      1 Wu	and	Amy
      1 Wu	and	Adamczyk
      1 World	科學	Science
      1 Wang	T	W
      1 W	Wu	Y
      1 TW	香港	HK
      1 TSZ536	____________________	會員登入
      1 tr	id	1632209740378706
      1 toward	Homosexuality	in
      1 Themes	of	arguments
      1 the	31st	International
      1 Taiwan	A	discourse
      1 Taiwan	1995	2012
      1 T	W	Wu
      1 s表示無顯著影響	表示顯著的正向影響	表示顯著的負向影響
      1 Submit	訂閱	p
      1 Submit	More	或許你會想看
      1 Submit	More	__________________________________________________________________
      1 Sports	健康	Health
      1 Sociological	Review	48
      1 Society	名人	Celebrity
      1 Shih	H	Y
      1 SHARING	分享觀點從這開始	會員登入
      1 SHARING	分享觀點從這開始	Copyright
      1 sex	marriage	in
      1 Science	商業	Business
      1 same	sex	marriage
      1 RSS	編輯獨立聲明	隱私條款
      1 RSS	會員登入	會員註冊
      1 Review	48	4
      1 publisher	訂閱	The
      1 Psychology	Yokohama	Japan
      1 presented	at	the
      1 Poster	presented	at
      1 Politics	生活	Living
      1 Photo	Credit	AP
      1 PageView	noscript	1
      1 p	c1	2
      1 of	Psychology	Yokohama
      1 of	arguments	against
      1 ns	html	id
      1 noscript	1	
      1 News	Lens	關鍵評論網
      1 News	Lens	關鍵評論
      1 News	Lens	Logo
      1 n	s表示無顯著影響	表示顯著的正向影響
      1 More	或許你會想看	更多
      1 More	__________________________________________________________________	最新發展
      1 marriage	in	Taiwan
      1 Logo	臺灣	臺灣
      1 Loader	訂閱作者	Loader
      1 Loader	臺灣	香港
      1 Loader	文	張宜君
      1 Loader	收藏本文	來試試我們的新功能
      1 Loader	巷仔口社會學	巷仔口社會學
      1 Living	國際	World
      1 Line	Google	關於我們
      1 Lens	關鍵評論網	IFRAME
      1 Lens	關鍵評論	新聞
      1 Lens	Logo	臺灣
      1 Japan	二	Yen
      1 INTL	東南亞	NEWS
      1 INTL	東南亞	ASEAN
      1 INTL	東南亞	____________________
      1 International	Congress	of
      1 in	Taiwan	A
      1 in	Taiwan	1995
      1 IFRAME	www	googletagmanager
      1 id	GTM	TSZ536
      1 id	1632209740378706	ev
      1 html	id	GTM
      1 hsin	Alice	Cheng
      1 Homosexuality	in	Taiwan
      1 HK	國際	INTL
      1 HIV盛行率	以及代表性別態度	的兩性權力分布平等化指標
      1 Health	社會	Society
      1 H	Y	2016
      1 H	and	Shih
      1 GTM	TSZ536	____________________
      1 googletagmanager	com	ns
      1 Google	關於我們	徵人
      1 GDP及GINI係數	五	此部分將同性婚姻合法化及伴侶權合併分析
      1 GDP	因此	通過同性婚姻法案與國家發展程度並無對應關係
      1 Fen	Chieh	Felice
      1 Felice	Wu	and
      1 Facebook	Youtube	Line
      1 ev	PageView	noscript
      1 Education	運動	Sports
      1 discourse	analysis	Poster
      1 Cyberon	Loader	文
      1 Cyberon	Loader	巷仔口社會學
      1 cv	2	0
      1 culture	版本	台灣
      1 Credit	AP	達志影像
      1 Copyright	2018	The
      1 Congress	of	Psychology
      1 com	ns	html
      1 cj	1	tr
      1 Chinese	Sociological	Review
      1 Chieh	Felice	Wu
      1 Cheng	Wu	and
      1 Cheng	Fen	Chieh
      1 Changing	Attitudes	toward
      1 Celebrity	政治	Politics
      1 Career	藝文	Arts
      1 c2	17728543	cv
      1 c1	2	c2
      1 Business	職場	Career
      1 Blog	RSS	會員登入
      1 Attitudes	toward	Homosexuality
      1 at	the	31st
      1 ASEAN	追蹤我們	Facebook
      1 Arts	culture	版本
      1 arguments	against	same
      1 AP	達志影像	唸給你聽
      1 and	Shih	H
      1 and	Amy	Adamczyk
      1 and	Adamczyk	2016
      1 analysis	Poster	presented
      1 Amy	Adamczyk	2016
      1 Alice	Cheng	Fen
      1 against	same	sex
      1 Adamczyk	2016	註二
      1 Adamczyk	2016	Changing
      1 A	discourse	analysis
      1 48	4	317
      1 4	317	349
      1 349	三	同性婚姻合法化國家在此僅顯示21國
      1 31st	International	Congress
      1 317	349	三
      1 2020大選前的台灣	大人投資學	馬力歐陪你喝一杯
      1 2018	The	News
      1 2016年通過的哥倫比亞等	都稱不上是高度發展的國家	該年度的人均GDP甚至都遠低於台灣目前的人均
      1 2016年	一位義大利神父指稱義	大利北方發生的地震
      1 2016	註二	的研究
      1 2016	整理	分析了2014年尤美女委員所主持的公聽會反方立場之論述
      1 2016	反同婚合法	婦團
      1 2016	Themes	of
      1 2016	Changing	Attitudes
      1 2016	12	08
      1 2015年的調查結果顯示	有超過五成的台灣民眾	對同性戀者應擁有合法婚姻關係持正向
      1 2014年馬政府執政時期	法務部報告內容指出	同性婚姻恐衝擊現有婚姻制度
      1 2014	同性婚姻恐造成少子化	段宜康打臉法務部
      1 2013年通過法案的巴西和巴拉圭	2016年通過的哥倫比亞等	都稱不上是高度發展的國家
      1 2012年12月	尤美女委員在司法法制委員會召開了第一場同性婚姻公聽會	自此之後
      1 2012	Chinese	Sociological
      1 2010年通過同性婚姻權	的阿根廷	2013年通過法案的巴西和巴拉圭
      1 2	c2	17728543
      1 2	0	cj
      1 1995	2012	Chinese
      1 17728543	cv	2
      1 1632209740378706	ev	PageView
      1 137國	時期則從1980至2013年	以隨機效果模型
      1 12	08	社會
      1 1	tr	id
      1 1		
      1 08	社會	同性婚姻合法化之後
      1 0	cj	1
      1 __________________________________________________________________	附註	一
      1 __________________________________________________________________	關於我們	專欄作者
      1 __________________________________________________________________	最新發展	為什麼不應該立同性婚姻專法
      1 ____________________	現正閱讀	同性婚姻合法化之後
      1 ____________________	會員登入	會員註冊
      1 ____________________	Submit	訂閱
