      4 Same	Sex	Marriage
      1 Gallup	Blog	May
      1 Gallup	Blog	Gallup
      1 Gallup	and	Our
      1 Gallup	Analytics	Business
      1 Gallup	Alumni	Survey
      1 Gallup	Access	News
      1 Gallup	Access	Manage
      1 gained	steadily	in
      1 Futuristic	Harmony	Ideation
      1 from	the	27
      1 from	last	year
      1 from	Gallup	s
      1 from	Gallup	News
      1 From	Gallup	Gallup
      1 from	4	1
      1 Frank	Newport	Some
      1 found	that	more
      1 formidable	opposition	trying
      1 Foreign	Affairs	Government
      1 for	what	legalization
      1 for	weighting	Each
      1 for	this	group
      1 for	this	Gallup
      1 for	Students	Talent
      1 for	Same	Sex
      1 for	same	sex
      1 For	results	based
      1 for	Republicans	views
      1 For	Organizations	For
      1 for	noncommercial	personal
      1 for	nearly	three
      1 For	Managers	For
      1 for	legalization	of
      1 For	Individuals	For
      1 for	increased	support
      1 for	gay	marriage
      1 For	Education	How
      1 for	and	against
      1 for	all	of
      1 Follow	This	Path
      1 folks	previously	held
      1 Focus	Futuristic	Harmony
      1 first	state	Massachusetts
      1 first	polled	on
      1 Finder	Achiever	Activator
      1 Finance	Retirement	Small
      1 figure	is	up
      1 figure	for	Republicans
      1 Feb	7	2018
      1 Featured	Solution	Gallup
      1 Featured	Book	It
      1 feared	for	what
      1 favors	legal	gay
      1 favor	than	Republicans
      1 favor	of	legally
      1 favor	legally	recognized
      1 Fairness	Focus	Futuristic
      1 factor	in	your
      1 Facebook	Twitter	LinkedIn
      1 F	Street	Washington
      1 express	permission	of
      1 export	nearly	a
      1 Explore	Americans	Views
      1 Experience	Culture	Employee
      1 Exceptional	Workplaces	Create
      1 Exceptional	Workplaces	Advanced
      1 excel	Employee	Experience
      1 examine	compare	and
      1 Events	View	All
      1 Events	Shop	Contact
      1 even	longer	in
      1 Europe	Middle	East
      1 Estimate	of	LGBT
      1 error	is	4
      1 error	include	computed
      1 environment	where	employees
      1 Environment	Guns	Healthcare
      1 Entrepreneurship	Personal	Finance
      1 ensure	long	term
      1 enjoy	their	newfound
      1 Engagement	Manager	Development
      1 Engagement	Management	Dr
      1 Engagement	Leadership	Marketplace
      1 Engagement	Index	Enetrix
      1 Engagement	Index	Customer
      1 Engagement	Employee	Engagement
      1 Engagement	Creation	Index
      1 engagement	and	performance
      1 Enetrix	Engagement	Creation
      1 enabled	Please	Enable
      1 Enable	JavaScript	Safely
      1 employees	do	best
      1 employees	and	teams
      1 Employee	Experience	Culture
      1 Employee	Engagement	Manager
      1 Employee	Engagement	Leadership
      1 Employee	Engagement	Index
      1 Empathy	Fairness	Focus
      1 Email	Print	Share
      1 Email	Print	Politics
      1 effects	for	weighting
      1 Education	Social	Policy
      1 Education	Research	Partners
      1 Education	K	12
      1 Education	How	It
      1 Education	Education	Higher
      1 Education	Drive	high
      1 Economy	Entrepreneurship	Personal
      1 Economy	Economy	Entrepreneurship
      1 Economy	Blogs	Trends
      1 East	North	Africa
      1 Each	sample	of
      1 each	of	the
      1 E	R	P3
      1 dynamic	online	platform
      1 due	to	greater
      1 Drugs	Alcohol	Health
      1 driven	news	delivered
      1 Drive	high	engagement
      1 Dr	Gallup	Portrait
      1 Do	Submit	Close
      1 do	best	For
      1 Diversity	Inclusion	Advanced
      1 District	of	Columbia
      1 dissatisfied	because	they
      1 Disease	Drugs	Alcohol
      1 Discipline	Empathy	Fairness
      1 digit	dial	methods
      1 dial	methods	View
      1 Development	Workforce	Analytics
      1 Development	Wellbeing	Diversity
      1 Developer	Discipline	Empathy
      1 design	effects	for
      1 depend	more	on
      1 Democrats	remain	the
      1 Democrats	remain	more
      1 Democrats	Reach	New
      1 Democrats	in	favor
      1 Democrats	Currently	71
      1 Democrats	are	nearly
      1 Democrats	and	independents
      1 delivered	straight	to
      1 Deliberative	Developer	Discipline
      1 define	the	working
      1 decisions	to	ensure
      1 decision	This	came
      1 decision	nearing	and
      1 decision	a	patchwork
      1 decade	after	the
      1 data	Learn	More
      1 data	for	all
      1 data	driven	news
      1 data	are	from
      1 Daily	Tracking	Gallup
      1 D	C	Sixty
      1 D	C	20001
      1 Customer	Engagement	Management
      1 Customer	Engagement	Index
      1 Customer	Engagement	Employee
      1 Customer	Analytics	CliftonStrengths
      1 Currently	71	of
      1 current	figure	is
      1 Culture	Employee	Engagement
      1 Crime	Environment	Guns
      1 Creation	Index	Follow
      1 created	for	and
      1 Create	an	environment
      1 Court	s	Obergefell
      1 Court	s	decision
      1 couples	enjoy	their
      1 country	may	be
      1 could	very	well
      1 Copyright	2019	Gallup
      1 Copyright	2016	Gallup
      1 continue	to	grow
      1 continue	given	that
      1 Context	Deliberative	Developer
      1 content	Submit	Toggle
      1 Contact	Us	Careers
      1 Consulting	Gallup	Healthways
      1 Consistency	Context	Deliberative
      1 consensus	on	the
      1 Connectedness	Consistency	Context
      1 confidence	level	All
      1 computed	design	effects
      1 complete	question	responses
      1 Competition	Connectedness	Consistency
      1 compare	and	export
      1 Company	About	Gallup
      1 Communication	Competition	Connectedness
      1 Command	Communication	Competition
      1 com	poll	234866
      1 com	ns	html
      1 com	Exceptional	Workplaces
      1 Columbia	For	results
      1 closer	to	those
      1 Close	menu	Our
      1 CliftonStrengths	Gallup	Access
      1 CliftonStrengths	for	Students
      1 CliftonStrengths	Customer	Engagement
      1 CliftonStrengths	Boost	performance
      1 CliftonStrengths	34	Themes
      1 Clifton	StrengthsFinder	Customer
      1 Clifton	StrengthsExplorer	Clifton
      1 Class	by	Frank
      1 class	as	those
      1 City	Strengths	Spotlight
      1 citizens	Reports	Books
      1 Chronic	Disease	Drugs
      1 changed	their	minds
      1 certain	states	some
      1 century	of	primary
      1 Center	World	World
      1 Center	Senior	Scientists
      1 cellular	telephone	numbers
      1 cellphone	respondents	and
      1 CE11	CE11	Accelerator
      1 CE11	Accelerator	Clifton
      1 Careers	Store	Search
      1 Careers	Media	Inquiries
      1 came	more	than
      1 C	Sixty	seven
      1 C	20001	U
      1 by	Working	Class
      1 by	time	zone
      1 by	the	law
      1 by	maximizing	what
      1 by	Justin	McCarthy
      1 by	Frank	Newport
      1 But	now	that
      1 but	may	not
      1 but	has	yet
      1 but	23	are
      1 Business	to	Business
      1 Business	Politics	World
      1 Business	Journal	GBJ
      1 Business	Journal	Chairman
      1 Business	Impact	Analysis
      1 Business	Customer	Analytics
      1 Business	Business	Advanced
      1 Business	Blogs	Podcast
      1 Business	Advanced	Analytics
      1 Builder	Initiative	Education
      1 bring	But	now
      1 Briefing	Gallup	University
      1 Brain	Gallup	Business
      1 Bottom	Line	With
      1 both	issues	support
      1 Boost	performance	by
      1 Book	It	s
      1 Blogs	Trends	A
      1 Blogs	Podcast	The
      1 Blog	Polling	Matters
      1 Blog	Politics	Politics
      1 Blog	May	21
      1 Blog	Gallup	Vault
      1 Blog	Gallup	Blog
      1 bisexual	or	transgender
      1 bisexual	and	transgender
      1 billion	citizens	Reports
      1 biggest	factor	in
      1 best	For	Individuals
      1 Beliefs	poll	conducted
      1 Belief	Command	Communication
      1 Being	Well	Being
      1 Being	Index	Gallup
      1 Being	Economy	Blogs
      1 Being	Chronic	Disease
      1 behaviors	of	the
      1 before	reaching	majority
      1 been	legal	for
      1 because	they	seek
      1 became	legal	nationwide
      1 BE10	CE11	CE11
      1 be	softening	opposition
      1 be	rethinking	their
      1 be	recognized	by
      1 be	playing	a
      1 be	limited	to
      1 be	due	to
      1 Based	Selling	StatShot
      1 based	on	the
      1 based	on	telephone
      1 Based	Hiring	Gallup
      1 B2B	CliftonStrengths	Customer
      1 Aug	3	2018
      1 attitudes	and	behaviors
      1 at	your	institution
      1 at	the	95
      1 Assurance	Significance	Strategic
      1 aspx	Gallup	World
      1 Asia	Pacific	Europe
      1 as	well	Gallup
      1 as	valid	matching
      1 as	those	who
      1 as	Republicans	to
      1 as	new	generations
      1 as	likely	as
      1 as	lesbian	gay
      1 as	a	position
      1 articles	providing	insight
      1 Arranger	Belief	Command
      1 are	working	rather
      1 are	the	property
      1 are	selected	using
      1 are	provided	for
      1 are	nearly	twice
      1 are	more	likely
      1 are	married	to
      1 Are	Locations	Careers
      1 are	from	Gallup
      1 are	dissatisfied	because
      1 are	closer	to
      1 are	based	on
      1 Approval	Center	World
      1 annual	Values	and
      1 annual	polls	Gallup
      1 anniversary	of	the
      1 and	Woo	All
      1 and	unregistered	trademarks
      1 and	trends	Learn
      1 and	transgender	LGBT
      1 and	the	visibility
      1 and	the	District
      1 and	teams	excel
      1 and	Policy	Issues
      1 and	performance	at
      1 and	Our	Services
      1 and	older	living
      1 and	no	formidable
      1 and	lesbians	in
      1 and	independents	Reaching
      1 and	export	nearly
      1 and	even	longer
      1 and	cellular	telephone
      1 and	Beliefs	poll
      1 and	behaviors	of
      1 and	against	same
      1 and	30	landline
      1 and	3	5
      1 Analytics	Strengths	Development
      1 Analytics	Performance	Management
      1 Analytics	Make	accurate
      1 Analytics	CliftonStrengths	Gallup
      1 Analytics	CliftonStrengths	Boost
      1 Analytics	Business	to
      1 Analytics	B2B	CliftonStrengths
      1 Analytics	Access	Crucial
      1 Analytical	Arranger	Belief
      1 Analysis	BE10	CE11
      1 an	environment	where
      1 among	some	Americans
      1 among	Republicans	who
      1 among	party	groups
      1 among	Democrats	and
      1 among	Americans	who
      1 Americas	Asia	Pacific
      1 Americans	who	say
      1 Americans	who	once
      1 Americans	Views	on
      1 americans	support	sex
      1 Americans	support	same
      1 Americans	remain	satisfied
      1 Americans	Mean	by
      1 Americans	may	literally
      1 Americans	have	changed
      1 Americans	are	more
      1 American	adults	identifying
      1 Alumni	Survey	CliftonStrengths
      1 All	Services	Solutions
      1 All	reported	margins
      1 All	other	trademarks
      1 all	of	2017
      1 All	Gallup	Headlines
      1 all	50	U
      1 alerts	Never	miss
      1 Alerts	Get	the
      1 Alerts	Gallup	News
      1 Alcohol	Health	Habits
      1 aged	18	and
      1 against	same	sex
      1 after	the	first
      1 Africa	Sub	Saharan
      1 Africa	Education	Education
      1 Affairs	Government	The
      1 Advisers	Topics	Business
      1 Advantage	Selection	Research
      1 Advanced	Analytics	Make
      1 Advanced	Analytics	CliftonStrengths
      1 Advanced	Analytics	B2B
      1 Advanced	Analytics	Access
      1 adults	the	margin
      1 adults	say	gay
      1 adults	includes	a
      1 adults	in	the
      1 adults	identifying	as
      1 adults	getting	married
      1 adults	are	married
      1 adults	aged	18
      1 additional	minimum	quotas
      1 addition	to	the
      1 Adaptability	Analytical	Arranger
      1 Activator	Adaptability	Analytical
      1 across	the	country
      1 Achiever	Activator	Adaptability
      1 accurate	decisions	to
      1 Accountability	Index	Business
      1 Access	News	Reports
      1 Access	Manage	your
      1 Access	Log	In
      1 acceptance	Polling	Matters
      1 Acceptance	of	Gays
      1 acceptance	of	gays
      1 acceptance	of	gay
      1 acceptance	among	Republicans
      1 Accelerator	Q12	Advantage
      1 Accelerator	ICE11	I10
      1 Accelerator	Clifton	StrengthsExplorer
      1 about	the	biggest
      1 about	the	attitudes
      1 about	how	the
      1 About	Gallup	Locations
      1 About	Gallup	and
      1 about	Access	Crucial
      1 Abortion	Crime	Environment
      1 A8	Accountability	Index
      1 A	Z	More
      1 a	series	of
      1 a	role	in
      1 a	random	sample
      1 a	position	in
      1 a	patchwork	of
      1 a	national	consensus
      1 a	minimum	quota
      1 A	majority	of
      1 a	dynamic	online
      1 a	decade	after
      1 a	century	of
      1 A	1	202
      1 95	confidence	level
      1 901	F	Street
      1 83	of	Democrats
      1 715	3030	News
      1 71	of	independents
      1 70	cellphone	respondents
      1 7	billion	citizens
      1 7	2018	Majority
      1 67	of	U
      1 5986988	Ver	2
      1 50	U	S
      1 5	The	percentage
      1 5	in	2017
      1 5	in	2012
      1 47	recorded	in
      1 44	The	latest
      1 40	percentage	points
      1 4	percentage	points
      1 4	of	LGBT
      1 4	5	The
      1 4	5	in
      1 4	1	in
      1 34	Themes	Builder
      1 3030	News	Our
      1 30	landline	respondents
      1 3	5	in
      1 3	2018	Looking
      1 27	who	supported
      1 234866	two	three
      1 23	are	dissatisfied
      1 23	2018	Two
      1 23	2018	Gallup
      1 22	2018	In
      1 21	2018	Explore
      1 202	715	3030
      1 2019	Gallup	Inc
      1 2018	with	a
      1 2018	Two	in
      1 2018	Majority	Remains
      1 2018	Looking	Into
      1 2018	In	U
      1 2018	Gallup	https
      1 2018	Explore	Americans
      1 2017	The	GOP
      1 2017	Gallup	has
      1 2017	from	4
      1 2016	Gallup	Inc
      1 2016	and	3
      1 2015	upon	the
      1 2012	Politics	Feb
      1 2010s	Survey	Methods
      1 2000s	before	reaching
      1 20001	U	S
      1 2	PrincipalInsight	Q12
      1 2	Notice	JavaScript
      1 1996	GayMarriageSupport	These
      1 18	and	older
      1 12	Social	Policy
      1 12	Education	Higher
      1 10	Some	of
      1 10	4	of
      1 10	2018	with
      1 1	in	2016
      1 1	202	715
      1 1	10	Some
      1 1	10	2018
      1 1	024	adults
      1 024	adults	aged
      1 0	ti	5986988
