      2 被称为	同性婚姻	维权第一案
      1 但在起诉民政局之前	他在同志圈内	的名头并不响亮
      1 传统的生育文化和性别文化使得相当数量的同性恋者进入主流异性恋模式婚姻	造成	同妻
      1 会激发公众对	同性恋群体的反感	小痕曾组织过武汉的同性恋亲友会
      1 代理过数次性少数群体案件的律师王振宇认为	结婚登记	是
      1 代理律师问被告	你们歧视同性恋吗	却被审判员打断
      1 他辞了职	不好意思总请假	过了三天
      1 他身边的一些同志	朋友	甚至把这种动辄打官司的行为称为
      1 他认为同性婚姻在中国是合法的	只是没有人实施它	他把婚姻法前前后后看了六遍
      1 他认为	既支持同性婚姻	更支持废除婚姻制度
      1 他觉得	恶心	由异性恋者主导的法律制定
      1 他觉得	同志要过好自己的生活	去影响身边的人
      1 他觉得	同妻	的痛苦经历应该倒逼社会观
      1 他觉得	一夫一	妻
      1 他要把自己的婚礼办成又一次倡导活动	应被访者要求	文中小痕为化名
      1 他本打算把全部的	新闻	微博
      1 他把婚姻法前前后后看了六遍	找	不出一个字禁止同性结婚
      1 他在同志圈内	的名头并不响亮	案件在2016年1月5日获得受理
      1 他会去给支持的评论回复	多数时候只是看看	他本打算把全部的
      1 他们觉得这是一种社群现实的需求	和同性伴侣的生活息息相关	另一方
      1 仍然有人进入异性婚姻	全球范围内	越来越多的国家实现了同性婚姻合法化
      1 亲友会	淡蓝等同志相关机构	希望能够做一个跟同志有关的项目
      1 互联网公司的工作	做搜索引擎优化	还开了一家茶馆
      1 争取的是否是纳入主流的一对一婚姻模式	也引发内部的讨论和争议	同性婚姻合法化
      1 了不愉快的状况	其中一位老人的儿子大闹婚礼现场	这样的实践需要冲破层层阻力
      1 了30多个问题	包括	同妻
      1 也生活得很平静	凌绝顶的婚礼在2015年6月27日	正是美国联邦法
      1 也有些同志说他们不在乎	因为他们从来都不想结婚	我不同意这
      1 也有	一对女同性恋情侣前往当地民政局登记注册	更重要的目标指向了当地的人大代表
      1 也更期待不通过官方认定的婚姻模式	比如跟律师商议	有没有可能同志群体自己认证
      1 也是中国特有现象	同性恋纪录片导演何小培	曾拍摄过东北的四位与
      1 也担心	这种起诉民政局的行为	会激发公众对
      1 也引来媒体广泛报道	虽然婚礼上发生	了不愉快的状况
      1 也引发内部的讨论和争议	同性婚姻合法化	是同志运动的终极目标吗
      1 也应该倒逼男同社群建立新的现代文化	不进入伤己伤人的异性婚姻	拒绝和异性恋结婚
      1 也带来激励与感动	中国有多少同性恋者	目前国际上比较通行的说法是
      1 也在学校公开出柜	参与组织长沙的同志游行等倡导活动	2014年
      1 也包括男男	女女	这样的法律才算是没有歧视的
      1 之间	若以中国人口有14亿来计算	同性恋者的数量应当在280
      1 义正词严的拒绝	同日在广州	也有
      1 主流文化	压迫不婚者的工具	台湾同运界在力推的
      1 为同性伴侣定制出国结婚的商业产品	辛颖表示	2014年底
      1 为了应对家庭压力	像小痕这样与拉拉形婚的男同志	或者与gay
      1 为了应对家人的压力	小痕和一个拉拉好友形婚	在元旦那天摆酒
      1 临近宣判时	律师石伏龙有预感会败诉	便在法庭上说
      1 中晋系	100	收益产品投资者只能拿到10
      1 中国相关婚姻法律	法	规明确规定结婚的主体是指符合法定结婚条件的男女双方
      1 中国的同性恋伴侣要结婚的声音并没有消失	据	北京同志中心
      1 中国的同性恋伴侣期望	实现同性婚姻的诉求无法被忽视	2015年2月26日
      1 中国现行法律中并没有对同性恋群体做出相关规定	传统的生育文化和性别文化使得相当数量的同性恋者进入主流异性恋模式婚姻	造成
      1 中国有多少同性恋者	目前国际上比较通行的说法是	同性恋者占人群的比例约在2
      1 中国当下的主流价值观是鼓励所有人的进入婚姻	繁衍后代	与此相伴的有
      1 中国女性为什么恐惧	浦东机场海关严查海淘	黄渤也被扣
      1 中国同性婚姻离合法化还有多远	99d367aadb4c2f4_size25_w74_h102	jpg
      1 中国15岁至60岁的同性恋人数约为3100多万	为了应对家庭压力	像小痕这样与拉拉形婚的男同志
      1 中华人民共和国婚姻法	对申请结婚以及办理结婚登记的基本程序等作了专门规定	中国相关婚姻法律
      1 两人私	下保持着好朋友的关系	爸妈还是会偶尔提及
      1 与此相伴的有	剩女	污名等
      1 与志愿者Elsie一起前往东城区民政局登记注册	遭到了一位男性工作人员	义正词严的拒绝
      1 与	同妻	现象多年
      1 与	同夫	现象
      1 不需要回答	最终败诉	判决书里没有提到庭审辩论的内容
      1 不进入伤己伤人的异性婚姻	拒绝和异性恋结婚	倡导活动
      1 不过他对范坡坡起诉广电总局下架同志纪录片	并胜诉一事	给予了很高评价
      1 不要让婚姻成为异性恋和同性恋协助所谓	主流文化	压迫不婚者的工具
      1 不管胜诉与否	都有历史意义	多数人觉得败诉在意料之中
      1 不是关于婚姻	像凌绝顶这样与同志爱人举办	真正婚礼
      1 不好意思总请假	过了三天	孙文麟和几个朋友在茶馆开会
      1 不只包括一男一女	也包括男男	女女
      1 不出一个字禁止同性结婚	去年底	孙文麟起诉了民政局
      1 下保持着好朋友的关系	爸妈还是会偶尔提及	希望小痕有个孩子
      1 上海的英国总领事戴绅伟同美籍华裔的伴侣张志鹄在英国驻华大使吴思田的见	证下举办了结婚仪式	该事件席卷社交媒体
      1 上千群众围观	小县城变得热闹非凡	2013年
      1 七对同志伴侣前往洛杉矶登记结婚	粉红经济潮流下	出国结婚
      1 一起上演中国特色的婚礼戏码	中国现行法律中并没有对同性恋群体做出相关规定	传统的生育文化和性别文化使得相当数量的同性恋者进入主流异性恋模式婚姻
      1 一男一女	而是	一夫一妻
      1 一对拉拉伴侣	朋友前往朝阳区民政局	希望进行同性结婚登记
      1 一对女同性恋情侣前往当地民政局登记注册	更重要的目标指向了当地的人大代表	写了致全国人大代表的一封公开信信希望通过行动来呼吁更多人大代表可以站
      1 一审结束后	孙文麟逐渐恢复平静	每天都在网上看评论
      1 一夫一妻	他觉得	一夫一
      1 一夫一	妻	不只包括一男一女
      1 一些人进入了形婚	仍然有人进入异性婚姻	全球范围内
      1 一个洛杉矶的旅游公司接下了这个项目	在商业赞助	同志机构的共同推动下
      1 weixin	gif	用微信扫描二维码
      1 wap_top_2	jpg	同志
      1 Rights	Reserved	a
      1 Reserved	a	gif
      1 Relations	广告服务	诚征英才
      1 png	0	
      1 Phoenix	New	Media
      1 New	Media	Limited
      1 Media	Limited	All
      1 Limited	All	Rights
      1 LGBT群体的婚姻平权	争取的是否是纳入主流的一对一婚姻模式	也引发内部的讨论和争议
      1 jpg	同志	婚姻第一案败诉
      1 jpg	作者	郭睿
      1 Investor	Relations	广告服务
      1 icon_logo	gif	更多
      1 gif	用微信扫描二维码	分享至好友和朋友圈
      1 gif	更多	往期回顾
      1 gif	a	c
      1 gay形婚的拉拉	双方家人心照不宣	一起上演中国特色的婚礼戏码
      1 Copyright	2016	Phoenix
      1 c	860010	2063990101
      1 All	Rights	Reserved
      1 a	gif	a
      1 a	c	860010
      1 99d367aadb4c2f4_size25_w74_h102	jpg	作者
      1 860010	2063990101	4ed96850c17672c5d66011b2f5039c70
      1 4月14日	案子一审败诉的第二天	他辞了职
      1 4ed96850c17672c5d66011b2f5039c70	png	0
      1 2063990101	4ed96850c17672c5d66011b2f5039c70	png
      1 2016年4月13日	芙蓉区人民法院宣判认为	中华人民共和国婚姻法
      1 2016	Phoenix	New
      1 2016	04	19
      1 2015年6月23日	孙文麟和相识一周年的男友胡明亮去长沙市芙蓉区民政局办理结婚登记	被工作人员拒绝
      1 2015年2月26日	江西的同志父亲林贤志致信1000名全国人大代表和政协委员	希望他们能在当年的两会关注同性婚姻合法化的问题
      1 2014年底	阿里巴巴旗下淘宝找到北京同志中心	亲友会
      1 2014年3月	英国新修订的婚姻法案允许同性伴侣结婚	同年6月
      1 2014年	孙文麟在qq上认识了男友胡明亮	老胡比他大十岁
      1 2013年	北京的两位老年男同志公开举办婚礼	并在微博上发布了两人穿婚纱和礼服的照片
      1 2013年	北京同志中心负责人辛颖	与志愿者Elsie一起前往东城区民政局登记注册
      1 2012年	福建一对男同志公开举办婚礼	上千群众围观
      1 2012年	同志平权工作者小刚和男性伴侣	一对拉拉伴侣
      1 19	第522期	weixin
      1 100	收益产品投资者只能拿到10	贵州杀妻灭子分尸案
      1 0万至7000万之间	学者张北川估算	中国15岁至60岁的同性恋人数约为3100多万
      1 04	19	第522期
      1 0		
